name,city,country,code
Foumban Nkounja Airport,Foumban,Cameroon,FOM
Arenal Airport,La Fortuna/San Carlos,Costa Rica,FON
Pinto Martins International Airport,Fortaleza,Brazil,FOR
Forrest Airport,Forrest,Australia,FOS
Grand Bahama International Airport,Freeport,Bahamas,FPO
St Lucie County International Airport,Fort Pierce,United States,FPR
Frankfurt am Main Airport,Frankfurt,Germany,FRA
Forbes Airport,Forbes,Australia,FRB
Tenente Lund Pressoto Airport,Franca,Brazil,FRC
Friday Harbor Airport,Friday Harbor,United States,FRD
Fera/Maringe Airport,Fera Island,Solomon Islands,FRE
Republic Airport,Farmingdale,United States,FRG
Marshall Army Air Field,Fort Riley,United States,FRI
Fréjus Airport,Frejus,France,FRJ
Forlì Airport,Forli,Italy,FRL
Bryant Army Heliport,Fort Richardson,United States,FRN
Florø Airport,Floro,Norway,FRO
Mundo Maya International Airport,Flores,Guatemala,FRS
Manas International Airport,Bishkek,Kyrgyzstan,FRU
Francistown Airport,Francistown,Botswana,FRW
Eastern Slopes Regional Airport,Fryeburg,United States,FRY
Fritzlar Airport,Fritzlar,Germany,FRZ
Figari Sud-Corse Airport,Figari,France,FSC
Joe Foss Field Airport,Sioux Falls,United States,FSD
Henry Post Army Air Field (Fort Sill),Fort Sill,United States,FSI
Fort Smith Regional Airport,Fort Smith,United States,FSM
St Pierre Airport,St.-pierre,Saint Pierre and Miquelon,FSP
RAF Kinloss,Kinloss,United Kingdom,FSS
Fort Stockton Pecos County Airport,Fort Stockton,United States,FST
Futuna Airport,Futuna Island,Vanuatu,FTA
El Calafate Airport,El Calafate,Argentina,FTE
Fitiuta Airport,Fiti\'uta,American Samoa,FTI
Godman Army Air Field,Fort Knox,United States,FTK
Tôlanaro Airport,Tolagnaro,Madagascar,FTU
Fort Worth Meacham International Airport,Fort Worth,United States,FTW
Owando Airport,Owando,Congo (Kinshasa),FTX
Fulton County Airport Brown Field,Atlanta,United States,FTY
Fuerteventura Airport,Fuerteventura,Spain,FUE
Fuyang Xiguan Airport,Fuyang,China,FUG
Fukue Airport,Fukue,Japan,FUJ
Fukuoka Airport,Fukuoka,Japan,FUK
Fullerton Municipal Airport,Fullerton,United States,FUL
Funafuti International Airport,Funafuti,Tuvalu,FUN
Foshan Shadi Airport,Foshan,China,FUO
Pointe Vele Airport,Futuna Island,Wallis and Futuna,FUT
Fort Wayne International Airport,Fort Wayne,United States,FWA
NAS Fort Worth JRB/Carswell Field,Dallas,United States,FWH
Fort Lauderdale Executive Airport,Fort Lauderdale,United States,FXE
Cuamba Airport,Cuamba,Mozambique,FXO
Dongji Aiport,Fuyuan,China,FYJ
Fuyun Koktokay Airport,Fuyun,China,FYN
Faya Largeau Airport,Faya-largeau,Chad,FYT
Fort Yukon Airport,Fort Yukon,United States,FYU
Drake Field,Fayetteville,United States,FYV
Bristol Filton Airport,Bristol,United Kingdom,FZO
Northeast Alabama Regional Airport,Gadsden,United States,GAD
Gabès Matmata International Airport,Gabes,Tunisia,GAE
Gafsa Ksar International Airport,Gafsa,Tunisia,GAF
Gayndah Airport,Gayndah,Australia,GAH
Montgomery County Airpark,Gaithersburg,United States,GAI
Yamagata Airport,Yamagata,Japan,GAJ
Edward G. Pitka Sr Airport,Galena,United States,GAL
Gambell Airport,Gambell,United States,GAM
Gan International Airport,Gan Island,Maldives,GAN
Mariana Grajales Airport,Guantanamo,Cuba,GAO
Gao Airport,Gao,Mali,GAQ
Garissa Airport,Garissa,Kenya,GAS
Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,GAU
Gaya Airport,Gaya,India,GAY
Cotswold Airport,Pailton,United Kingdom,GBA
Gabala International Airport,Qabala,Azerbaijan,GBB
Great Bend Municipal Airport,Great Bend,United States,GBD
Sir Seretse Khama International Airport,Gaberone,Botswana,GBE
Galesburg Municipal Airport,Galesburg,United States,GBG
Les Bases Airport,Grand Bourg,Guadeloupe,GBJ
Gbangbatok Airport,Gbangbatok,Sierra Leone,GBK
Gorgan Airport,Gorgan,Iran,GBT
Great Barrier Aerodrome,Claris,New Zealand,GBZ
Gillette Campbell County Airport,Gillette,United States,GCC
Gachsaran Airport,Gachsaran,Iran,GCH
Guernsey Airport,Guernsey,Guernsey,GCI
Grand Central Airport,Johannesburg,South Africa,GCJ
Garden City Regional Airport,Garden City,United States,GCK
Owen Roberts International Airport,Georgetown,Cayman Islands,GCM
Grand Canyon National Park Airport,Grand Canyon,United States,GCN
Donaldson Field Airport,Greenville,United States,GDC
Gode Airport,Gode,Ethiopia,GDE
Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,GDL
Gdańsk Lech Wałęsa Airport,Gdansk,Poland,GDN
Guasdalito Airport,Guasdualito,Venezuela,GDO
Gonder Airport,Gondar,Ethiopia,GDQ
JAGS McCartney International Airport,Cockburn Town,Turks and Caicos Islands,GDT
Dawson Community Airport,Glendive,United States,GDV
Gladwin Zettel Memorial Airport,Gladwin,United States,GDW
Sokol Airport,Magadan,Russia,GDX
Gelendzhik Airport,Gelendzhik,Russia,GDZ
Nouméa Magenta Airport,Noumea,New Caledonia,GEA
Lefkoniko Airport,Geçitkale,Cyprus,GEC
Sussex County Airport,Georgetown,United States,GED
Spokane International Airport,Spokane,United States,GEG
Santo Ângelo Airport,Santo Angelo,Brazil,GEL
Cheddi Jagan International Airport,Georgetown,Guyana,GEO
Rafael Cabrera Airport,Nueva Gerona,Cuba,GER
General Santos International Airport,Romblon,Philippines,GES
Geraldton Airport,Geraldton,Australia,GET
Gällivare Airport,Gallivare,Sweden,GEV
Geelong Airport,Geelong,Australia,GEX
Griffith Airport,Griffith,Australia,GFF
Grand Forks International Airport,Grand Forks,United States,GFK
Floyd Bennett Memorial Airport,Queensbury,United States,GFL
Grafton Airport,Grafton,Australia,GFN
Bartica A Airport,Bartica,Guyana,GFO
Granville Airport,Granville,France,GFR
Grootfontein Airport,Grootfontein,Namibia,GFY
Georgetown County Airport,Georgetown,United States,GGE
East Texas Regional Airport,Longview,United States,GGG
Kakamega Airport,Kakamega,Kenya,GGM
Gobernador Gregores Airport,Gobernador Gregores,Argentina,GGS
Exuma International Airport,Great Exuma,Bahamas,GGT
Wokal Field Glasgow International Airport,Glasgow,United States,GGW
Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA
Governor's Harbour Airport,Governor's Harbor,Bahamas,GHB
Great Harbour Cay Airport,Bullocks Harbour,Bahamas,GHC
[Duplicate] Giebelstadt Army Air Field,Giebelstadt,Germany,GHF
Ghat Airport,Ghat,Libya,GHT
Gualeguaychu Airport,Gualeguaychu,Argentina,GHU
Gibraltar Airport,Gibraltar,Gibraltar,GIB
Boigu Airport,Boigu,Australia,GIC
Gitega Airport,Gitega,Burundi,GID
Winter Haven Regional Airport - Gilbert Field,Winter Haven,United States,GIF
Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,Brazil,GIG
Siguiri Airport,Siguiri,Guinea,GII
Gilgit Airport,Gilgit,Pakistan,GIL
Santiago Vila Airport,Girardot,Colombia,GIR
Gisborne Airport,Gisborne,New Zealand,GIS
Mchauru Airport,Geita,Tanzania,GIT
Sigiriya Air Force Base,Sigiriya,Sri Lanka,GIU
Jizan Regional Airport,Gizan,Saudi Arabia,GIZ
La Laguna Airport,Guanaja,Honduras,GJA
Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL
Guajará-Mirim Airport,Guajara-mirim,Brazil,GJM
Gjögur Airport,Gjogur,Iceland,GJR
Grand Junction Regional Airport,Grand Junction,United States,GJT
Goroka Airport,Goroka,Papua New Guinea,GKA
Geilenkirchen Air Base,Geilenkirchen,Germany,GKE
Kooddoo Airport,Kooddoo,Maldives,GKK
Great Keppel Is Airport,Great Keppel Island,Australia,GKL
Gulkana Airport,Gulkana,United States,GKN
Glasgow International Airport,Glasgow,United Kingdom,GLA
Renner Field-Goodland Municipal Airport,Goodland,United States,GLD
Golfito Airport,Golfito,Costa Rica,GLF
Mid Delta Regional Airport,Greenville,United States,GLH
Glen Innes Airport,Glen Innes,Australia,GLI
Galcaio Airport,Galcaio,Somalia,GLK
Gloucestershire Airport,Golouchestershire,United Kingdom,GLO
Gaylord Regional Airport,GAYLORD,United States,GLR
Scholes International At Galveston Airport,Galveston,United States,GLS
Gladstone Airport,Gladstone,Australia,GLT
Gelephu Airport,Gelephu,Bhutan,GLU
Golovin Airport,Golovin,United States,GLV
Glasgow Municipal Airport,Glasgow,United States,GLW
Gilze Rijen Air Base,Gilze-rijen,Netherlands,GLZ
Gemena Airport,Gemena,Congo (Kinshasa),GMA
Gambella Airport,Gambella,Ethiopia,GMB
Ben Slimane Airport,Ben Slimane,Morocco,GMD
Gomel Airport,Gomel,Belarus,GME
Gostomel Airport,Kiev,Ukraine,GML
Gombe Lawanti International Airport,Gombe,Nigeria,GMO
Gimpo International Airport,Seoul,South Korea,GMP
Golog Maqin Airport,Golog,China,GMQ
Totegegie Airport,Totegegie,French Polynesia,GMR
Greenville Downtown Airport,Greenville,United States,GMU
Monument Valley Airport,Monument Valley,United States,GMV
La Gomera Airport,La Gomera,Spain,GMZ
Hrodna Airport,Hrodna,Belarus,GNA
Grenoble-Isère Airport,Grenoble,France,GNB
Point Salines International Airport,Point Salines,Grenada,GND
Lyudao Airport,Green Island,Taiwan,GNI
Guanambi Airport,Guanambi,Brazil,GNM
Dr. Arturo H. Illia Airport,Fuerte Gral Roca,Argentina,GNR
Binaka Airport,Gunung Sitoli,Indonesia,GNS
Grants-Milan Municipal Airport,Grants,United States,GNT
Gainesville Regional Airport,Gainesville,United States,GNV
Şanlıurfa GAP Airport,Sanliurfa,Turkey,GNY
Ghanzi Airport,Ghanzi,Botswana,GNZ
Genoa Cristoforo Colombo Airport,Genoa,Italy,GOA
Robe Airport,Goba,Ethiopia,GOB
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH
Dabolim Airport,Goa,India,GOI
Nizhny Novgorod Strigino International Airport,Nizhniy Novgorod,Russia,GOJ
Goma International Airport,Goma,Congo (Kinshasa),GOM
Groton New London Airport,Groton CT,United States,GON
Goondiwindi Airport,Goondiwindi,Australia,GOO
Gorakhpur Airport,Gorakhpur,India,GOP
Golmud Airport,Golmud,China,GOQ
Gore Airport,Gore,Ethiopia,GOR
Gothenburg-Landvetter Airport,Gothenborg,Sweden,GOT
Garoua International Airport,Garoua,Cameroon,GOU
Gove Airport,Gove,Australia,GOV
Gorna Oryahovitsa Airport,Gorna Orechovica,Bulgaria,GOZ
Araxos Airport,Patras,Greece,GPA
Tancredo Thomas de Faria Airport,Guarapuava,Brazil,GPB
Juan Casiano Airport,Guapi,Colombia,GPI
Guapiles Airport,Guapiles,Costa Rica,GPL
Garden Point Airport,Pirlangimpi,Australia,GPN
General Pico Airport,General Pico,Argentina,GPO
Seymour Airport,Galapagos,Ecuador,GPS
Gulfport Biloxi International Airport,Gulfport,United States,GPT
Grand Rapids Itasca Co-Gordon Newstrom field,Grand Rapids MN,United States,GPZ
Galion Municipal Airport,Galion,United States,GQQ
Austin Straubel International Airport,Green Bay,United States,GRB
Gray Army Air Field,Fort Lewis,United States,GRF
Central Nebraska Regional Airport,Grand Island,United States,GRI
George Airport,George,South Africa,GRJ
Robert Gray  Army Air Field Airport,Killeen,United States,GRK
Grand Marais Cook County Airport,Grand Marais,United States,GRM
Girona Airport,Gerona,Spain,GRO
Gurupi Airport,Gurupi,Brazil,GRP
Eelde Airport,Groningen,Netherlands,GRQ
Gerald R. Ford International Airport,Grand Rapids,United States,GRR
Grosseto Air Base,Grosseto,Italy,GRS
Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,GRU
Graciosa Airport,Graciosa Island,Portugal,GRW
Federico Garcia Lorca Airport,Granada,Spain,GRX
Grímsey Airport,Grímsey,Iceland,GRY
Graz Airport,Graz,Austria,GRZ
Seymour Johnson Air Force Base,Goldsboro,United States,GSB
Gothenburg City Airport,Gothenborg,Sweden,GSE
Grand-Santi Airport,Grand-Santi,French Guiana,GSI
San José Airport,San Jose,Guatemala,GSJ
Piedmont Triad International Airport,Greensboro,United States,GSO
Greenville Spartanburg International Airport,Greenville,United States,GSP
Shark El Oweinat International Airport,Sharq Al-Owainat,Egypt,GSQ
Gustavus Airport,Gustavus,United States,GST
Groote Eylandt Airport,Groote Eylandt,Australia,GTE
Great Falls International Airport,Great Falls,United States,GTF
Rügen Airport,Ruegen,Germany,GTI
Glentanner Airport,Glentanner,New Zealand,GTN
Jalaluddin Airport,Gorontalo,Indonesia,GTO
Golden Triangle Regional Airport,Columbus Mississippi,United States,GTR
La Aurora Airport,Guatemala City,Guatemala,GUA
Guerrero Negro Airport,Guerrero Negro,Mexico,GUB
Gunnison Crested Butte Regional Airport,Gunnison,United States,GUC
Jack Edwards Airport,Gulf Shores,United States,GUF
Gunnedah Airport,,Australia,GUH
Guiria Airport,Guiria,Venezuela,GUI
Guaratinguetá Airport,Guaratingueta,Brazil,GUJ
Goulburn Airport,Goulburn,Australia,GUL
Antonio B. Won Pat International Airport,Agana,Guam,GUM
Gallup Municipal Airport,Gallup,United States,GUP
Guanare Airport,Guanare,Venezuela,GUQ
Gurney Airport,Gurney,Papua New Guinea,GUR
Grissom Air Reserve Base,Peru,United States,GUS
Gütersloh Air Base,Guetersloh,Germany,GUT
Grundarfjörður Airport,Grundarfjordur,Iceland,GUU
Atyrau Airport,Atyrau,Kazakhstan,GUW
Guna Airport,Guna,India,GUX
Guymon Municipal Airport,Guymon,United States,GUY
Guarapari Airport,Guarapari,Brazil,GUZ
Geneva Cointrin International Airport,Geneva,Switzerland,GVA
Lee Gilmer Memorial Airport,Gainesville,United States,GVL
Maygatka Airport.,Sovetskaya Gavan,Russia,GVN
Coronel Altino Machado de Oliveira Airport,Governador Valadares,Brazil,GVR
Majors Airport,Greenvile,United States,GVT
Gävle Sandviken Airport,Gavle,Sweden,GVX
Gwadar International Airport,Gwadar,Pakistan,GWD
Thornhill Air Base,Gwert,Zimbabwe,GWE
Gwalior Airport,Gwalior,India,GWL
Greenwood–Leflore Airport,Greenwood,United States,GWO
Westerland Sylt Airport,Westerland,Germany,GWT
Galway Airport,Galway,Ireland,GWY
Sayun International Airport,Sayun Intl,Yemen,GXF
Negage Airport,Negage,Angola,GXG
Gannan Xiahe Airport,Xiahe city,China,GXH
Teniente Vidal Airport,Coyhaique,Chile,GXQ
Greeley–Weld County Airport,Greeley,United States,GXY
Capitán de Av. Emilio Beltrán Airport,Guayaramerín,Bolivia,GYA
Heydar Aliyev International Airport,Baku,Azerbaijan,GYD
José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,GYE
Magan Airport,Yakutsk,Russia,GYG
Gisenyi Airport,Gisenyi,Rwanda,GYI
Argyle Airport,Argyle,Australia,GYL
General José María Yáñez International Airport,Guaymas,Mexico,GYM
Santa Genoveva Airport,Goiania,Brazil,GYN
Phoenix Goodyear Airport,Goodyear,United States,GYR
Guangyuan Airport,Guangyuan,China,GYS
Guyuan Liupanshan Airport,Guyuan,China,GYU
Gary Chicago International Airport,Gary,United States,GYY
Yasser Arafat International Airport,Gaza,Palestine,GZA
Ghazni Airport,Ghazni,Afghanistan,GZI
Xewkija Heliport,Gozo,Malta,GZM
Nusatupe Airport,Gizo,Solomon Islands,GZO
Gazipaşa Airport,Alanya,Turkey,GZP
Gaziantep International Airport,Gaziantep,Turkey,GZT
Qazvin Airport,Ghazvin,Iran,GZW
Hasvik Airport,Hasvik,Norway,HAA
Hachijojima Airport,Hachijojima,Japan,HAC
Halmstad Airport,Halmstad,Sweden,HAD
Half Moon Bay Airport,Half Moon Bay,United States,HAF
Prince Said Ibrahim International Airport,Moroni,Comoros,HAH
Hannover Airport,Hannover,Germany,HAJ
Haikou Meilan International Airport,Haikou,China,HAK
Hamburg Airport,Hamburg,Germany,HAM
Noi Bai International Airport,Hanoi,Vietnam,HAN
Butler Co Regional Airport - Hogan Field,Hamilton,United States,HAO
Hanimaadhoo Airport,Haa Dhaalu Atoll,Maldives,HAQ
Capital City Airport,Harrisburg,United States,HAR
Ha'il Airport,Hail,Saudi Arabia,HAS
Haugesund Airport,Haugesund,Norway,HAU
José Martí International Airport,Havana,Cuba,HAV
Haverfordwest Airport,Haverfordwest,United Kingdom,HAW
Hobart International Airport,Hobart,Australia,HBA
Borg El Arab International Airport,Alexandria,Egypt,HBE
Hattiesburg Bobby L Chain Municipal Airport,Hattiesburg,United States,HBG
Hobart Regional Airport,Hobart,United States,HBR
Hubli Airport,Hubli,India,HBX
Hechi Jinchengjiang Airport,Hechi,China,HCJ
Hengchun Airport,Hengchun,Taiwan,HCN
Halls Creek Airport,Halls Creek,Australia,HCQ
Holy Cross Airport,Holy Cross,United States,HCR
Cheraw Municipal Airport/Lynch Bellinger Field,Cheraw,United States,HCW
Hyderabad Airport,Hyderabad,Pakistan,HDD
Brewster Field,Holdredge,United States,HDE
Heringsdorf Airport,Heringsdorf,Germany,HDF
Handan Airport,Handan,China,HDG
Dillingham Airfield,Dillingham,United States,HDH
Hardwick Field,Cleveland,United States,HDI
Hamadan Airport,Hamadan,Iran,HDM
Yampa Valley Airport,Hayden,United States,HDN
Havadarya Airport,Bandar Abbas,Iran,HDR
Hoedspruit Air Force Base Airport,Hoedspruit,South Africa,HDS
Hat Yai International Airport,Hat Yai,Thailand,HDY
Herat Airport,Herat,Afghanistan,HEA
Heho Airport,Heho,Burma,HEH
Heide-Büsum Airport,Büsum,Germany,HEI
Heihe Airport,Heihe,China,HEK
Helsinki Vantaa Airport,Helsinki,Finland,HEL
Helsinki Malmi Airport,Helsinki,Finland,HEM
Heraklion International Nikos Kazantzakis Airport,Heraklion,Greece,HER
Baita International Airport,Hohhot,China,HET
Athen Helenikon Airport,Athens,Greece,HEW
Herrera Airport,Santo Domingo,Dominican Republic,HEX
Haifa International Airport,Haifa,Israel,HFA
Hartford Brainard Airport,Hartford,United States,HFD
Hefei Luogang International Airport,Hefei,China,HFE
Hornafjörður Airport,Hofn,Iceland,HFN
Hagfors Airport,Hagfors,Sweden,HFS
Hammerfest Airport,Hammerfest,Norway,HFT
Egal International Airport,Hargeisa,Somalia,HGA
Hughenden Airport,Hughenden,Australia,HGD
Higuerote Airport,Higuerote,Venezuela,HGE
Hangzhou Xiaoshan International Airport,Hangzhou,China,HGH
"Paloich Airport, Heliport",Higleig,South Sudan,HGI
Helgoland-Düne Airport,Helgoland,Germany,HGL
Mae Hong Son Airport,Mae Hong Son,Thailand,HGN
Korhogo Airport,Korhogo,Cote d'Ivoire,HGO
Hagerstown Regional Richard A Henson Field,Hagerstown,United States,HGR
Hastings Airport,Freetown,Sierra Leone,HGS
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU
Hachinohe Airport,Hachinoe,Japan,HHE
Hilton Head Airport,Hilton Head Island,United States,HHH
Wheeler Army Airfield,Wahiawa,United States,HHI
Frankfurt-Hahn Airport,Hahn,Germany,HHN
Shun Tak Heliport,Hong Kong,Hong Kong,HHP
Hua Hin Airport,Prachuap Khiri Khan,Thailand,HHQ
Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,United States,HHR
Hikueru Atoll Airport,Hikueru,French Polynesia,HHZ
Lianshui Airport,Huai An,China,HIA
Range Regional Airport,Hibbing,United States,HIB
Horn Island Airport,Horn Island,Australia,HID
Hill Air Force Base,Ogden,United States,HIF
Lake Havasu City Airport,Lake Havasu City,United States,HII
Hiroshima Airport,Hiroshima,Japan,HIJ
Hingurakgoda Air Force Base,Polonnaruwa Town,Sri Lanka,HIM
Sacheon Air Base/Airport,Sacheon,South Korea,HIN
Portland Hillsboro Airport,Hillsboro,United States,HIO
Honiara International Airport,Honiara,Solomon Islands,HIR
Hiroshimanishi Airport,Hiroshima,Japan,HIW
Zhijiang Airport,Zhijiang,China,HJJ
Khajuraho Airport,Khajuraho,India,HJR
Hakodate Airport,Hakodate,Japan,HKD
Hong Kong International Airport,Hong Kong,Hong Kong,HKG
Hokitika Airfield,Hokitika,New Zealand,HKK
Kimbe Airport,Hoskins,Papua New Guinea,HKN
Phuket International Airport,Phuket,Thailand,HKT
Hickory Regional Airport,Hickory,United States,HKY
Lanseria Airport,Johannesburg,South Africa,HLA
Dongshan Airport,Hailar,China,HLD
St. Helena Airport,Longwood,United Kingdom,HLE
Hultsfred Airport,Hultsfred,Sweden,HLF
Wheeling Ohio County Airport,Wheeling,United States,HLG
Ulanhot Airport,Ulanhot,China,HLH
Hollister Municipal Airport,Hollister,United States,HLI
Barysiai Airport,Barysiai,Lithuania,HLJ
Helena Regional Airport,Helena,United States,HLN
Halim Perdanakusuma International Airport,Jakarta,Indonesia,HLP
Hood Army Air Field,Fort Hood,United States,HLR
Hamilton Airport,Hamilton,Australia,HLT
Hamilton International Airport,Hamilton,New Zealand,HLZ
Khanty Mansiysk Airport,Khanty-Mansiysk,Russia,HMA
Sohag International Airport,Sohag,Egypt,HMB
Oued Irara Airport,Hassi Messaoud,Algeria,HME
Hermannsburg Airport,Hermannsburg,Australia,HMG
Hami Airport,Hami,China,HMI
Khmelnytskyi Airport,Khmeinitskiy,Ukraine,HMJ
Holloman Air Force Base,Alamogordo,United States,HMN
General Ignacio P. Garcia International Airport,Hermosillo,Mexico,HMO
Stafsberg Airport,Hamar,Norway,HMR
Hemavan Airport,Hemavan,Sweden,HMV
Seosan Air Base,Seosan,South Korea,HMY
Hanamaki Airport,Hanamaki,Japan,HNA
Tokyo Haneda International Airport,Tokyo,Japan,HND
Hoonah Airport,Hoonah,United States,HNH
Daniel K Inouye International Airport,Honolulu,United States,HNL
Hana Airport,Hana,United States,HNM
Haines Airport,Haines,United States,HNS
Hengyang Nanyue Airport,Hengyang,China,HNY
Hola Airport,Hola,Kenya,HOA
Lea County Regional Airport,Hobbs,United States,HOB
Hodeidah International Airport,Hodeidah,Yemen,HOD
Ban Huoeisay Airport,Huay Xai,Laos,HOE
Al Ahsa Airport,Al-ahsa,Saudi Arabia,HOF
Frank Pais International Airport,Holguin,Cuba,HOG
Hohenems-Dornbirn Airport,Hohenems,Austria,HOH
Hao Airport,Hao Island,French Polynesia,HOI
Hooker Creek Airport,Hooker Creek,Australia,HOK
Homer Airport,Homer,United States,HOM
Huron Regional Airport,Huron,United States,HON
Campbell AAF (Fort Campbell) Air Field,Hopkinsville,United States,HOP
Hof-Plauen Airport,Hof,Germany,HOQ
Horta Airport,Horta,Portugal,HOR
Chos Malal Airport,Chosmadal,Argentina,HOS
Memorial Field,Hot Springs,United States,HOT
William P Hobby Airport,Houston,United States,HOU
"Ørsta-Volda Airport, Hovden",Orsta-Volda,Norway,HOV
Hommalinn Airport,Hommalin,Burma,HOX
Lifuka Island Airport,Lifuka,Tonga,HPA
Hooper Bay Airport,Hooper Bay,United States,HPB
Shennongjia Hongping Airport,Shennongjia,China,HPG
Cat Bi International Airport,Haiphong,Vietnam,HPH
Westchester County Airport,White Plains,United States,HPN
Bowerman Airport,Hoquiam,United States,HQM
Taiping Airport,Harbin,China,HRB
Robert Gabriel Mugabe International Airport,Harare,Zimbabwe,HRE
Hurghada International Airport,Hurghada,Egypt,HRG
Mattala Rajapaksa International Airport,Mattala,Sri Lanka,HRI
Kharkiv International Airport,Kharkov,Ukraine,HRK
Valley International Airport,Harlingen,United States,HRL
Hassi R'Mel Airport,Tilrempt,Algeria,HRM
Boone County Airport,Harrison,United States,HRO
Harrismith Airport,Harrismith,South Africa,HRS
RAF Linton-On-Ouse,Linton-on-ouse,United Kingdom,HRT
Saga Airport,Saga,Japan,HSG
Henderson Executive Airport,Henderson,United States,HSH
Huesca/Pirineos Airport,Huesca,Spain,HSK
Huslia Airport,Huslia,United States,HSL
Horsham Airport,Horsham,Australia,HSM
Zhoushan Airport,Zhoushan,China,HSN
Hissar Airport,Hissar,India,HSS
Homestead ARB Airport,Homestead,United States,HST
Huntsville International Carl T Jones Field,Huntsville,United States,HSV
Hsinchu Air Base,Hsinchu,Taiwan,HSZ
Chita-Kadala Airport,Chita,Russia,HTA
Khatanga Airport,Khatanga,Russia,HTG
Hamilton Island Airport,Hamilton Island,Australia,HTI
Roscommon County - Blodgett Memorial Airport,Houghton Lake,United States,HTL
Hotan Airport,Hotan,China,HTN
Hateruma Airport,Taketomi,Japan,HTR
Tri-State/Milton J. Ferguson Field,Huntington,United States,HTS
Huatugou Airport,Mengnai,China,HTT
Hopetoun Airport,,Australia,HTU
Huntsville Regional Airport,Huntsville,United States,HTV
Hatay Airport,Hatay,Turkey,HTY
Redstone Army Air Field,Redstone,United States,HUA
Humera Airport,Humera,Ethiopia,HUE
"Terre Haute Regional Airport, Hulman Field",Terre Haute,United States,HUF
Huahine-Fare Airport,Huahine Island,French Polynesia,HUH
Phu Bai Airport,Hue,Vietnam,HUI
Houlton International Airport,Houlton,United States,HUL
Hualien Airport,Hualien,Taiwan,HUN
Holingol Huolinhe Airport,Holingol,China,HUO
Hon Airport,Hon,Libya,HUQ
Hughes Airport,Hughes,United States,HUS
Hutchinson Municipal Airport,Hutchinson,United States,HUT
Alferez Fap David Figueroa Fernandini Airport,Huánuco,Peru,HUU
Hudiksvall Airport,Hudiksvall,Sweden,HUV
Humaitá Airport,Humaita,Brazil,HUW
Bahías de Huatulco International Airport,Huatulco,Mexico,HUX
Humberside Airport,Humberside,United Kingdom,HUY
Huizhou Airport,Huizhou,China,HUZ
Analalava Airport,Analalava,Madagascar,HVA
Hervey Bay Airport,Hervey Bay,Australia,HVB
Khovd Airport,Khovd,Mongolia,HVD
Valan Airport,Honningsvag,Norway,HVG
Tweed New Haven Airport,New Haven,United States,HVN
Havre City County Airport,Havre,United States,HVR
Hartsville Regional Airport,Hartsville,United States,HVS
Hayward Executive Airport,Hayward,United States,HWD
Hwange National Park Airport,Hwange National Park,Zimbabwe,HWN
North Perry Airport,Hollywood,United States,HWO
Delingha Airport,Haixi,China,HXD
Hay Airport,,Australia,HXX
Barnstable Municipal Boardman Polando Field,Barnstable,United States,HYA
Wycombe Air Park,Wycombe,United Kingdom,HYC
Rajiv Gandhi International Airport,Hyderabad,India,HYD
Hydaburg Seaplane Base,Hydaburg,United States,HYG
Huangyan Luqiao Airport,Huangyan,China,HYN
Sawyer County Airport,Hayward,United States,HYR
Hays Regional Airport,Hays,United States,HYS
Hyvinkää Airfield,Hyvinkaa,Finland,HYV
Merville-Calonne Airport,Merville,France,HZB
Hanzhong Chenggu Airport,Hanzhong,China,HZG
Liping Airport,Liping,China,HZH
Húsavík Airport,Husavik,Iceland,HZK
Hazleton Municipal Airport,Hazleton,United States,HZL
Fort Mackay / Horizon Airport,Wood Buffalo,Canada,HZP
Igarka Airport,Igarka,Russia,IAA
Mc Connell Air Force Base,Wichita,United States,IAB
Washington Dulles International Airport,Washington,United States,IAD
Niagara Falls International Airport,Niagara Falls,United States,IAG
George Bush Intercontinental Houston Airport,Houston,United States,IAH
In Aménas Airport,Zarzaitine,Algeria,IAM
Bob Baker Memorial Airport,Kiana,United States,IAN
Siargao Airport,Siargao,Philippines,IAO
Tunoshna Airport,Yaroslavl,Russia,IAR
Iaşi Airport,Iasi,Romania,IAS
Ibadan Airport,Ibadan,Nigeria,IBA
General Villamil Airport,Isabela,Ecuador,IBB
Perales Airport,Ibague,Colombia,IBE
Iberia Airport,Iberia,Peru,IBP
Hyakuri Airport,Ibaraki,Japan,IBR
Ibiza Airport,Ibiza,Spain,IBZ
Andrés Miguel Salazar Marcano Airport,Isla De Coche,Venezuela,ICC
Cicia Airport,Cicia,Fiji,ICI
Nieuw Nickerie Airport,Nieuw Nickerie,Suriname,ICK
Incheon International Airport,Seoul,South Korea,ICN
Wichita Eisenhower National Airport,Wichita,United States,ICT
Idaho Falls Regional Airport,Idaho Falls,United States,IDA
Independence Municipal Airport,Independence,United States,IDP
Devi Ahilyabai Holkar Airport,Indore,India,IDR
